127.0.0.1 - - [11/Aug/2018:16:45:13 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/ HTTP/1.1" 200 58017
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/flowsregister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/myhome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/Top1brand.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/easy-responsive-tabs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/luxbootstrapthem.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/jquery.wmuSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/images/lg1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/myhome.css HTTP/1.1" 200 26343
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/jquery.autocomplete.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/easy-responsive-tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:18 +0530] "GET /FashionWheel/resources/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/newsletter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/myhome.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/js/bootbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/fas4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/fas3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/fas2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/fas1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/fas5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/amz1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/o1n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/03n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/PRDAA3050F030.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:19 +0530] "GET /FashionWheel/resources/images/o2n.jpg HTTP/1.1" 304 -
