127.0.0.1 - - [17/Sep/2018:10:38:59 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/ HTTP/1.1" 200 58017
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/flowsregister.css HTTP/1.1" 200 8099
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/myhome.css HTTP/1.1" 200 26343
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/Top1brand.css HTTP/1.1" 200 61554
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/luxbootstrapthem.css HTTP/1.1" 200 159680
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/flexslider.css HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/css/easy-responsive-tabs.css HTTP/1.1" 200 4600
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Sep/2018:10:39:25 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
