127.0.0.1 - - [24/Nov/2018:16:02:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/ HTTP/1.1" 200 58015
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:33 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:34 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:35 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:35 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:36 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:36 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:36 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:36 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:36 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:39 +0530] "GET /FashionWheel/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:02:40 +0530] "GET /FashionWheel/register?execution=e1s1 HTTP/1.1" 200 19374
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:11:02 +0530] "GET /FashionWheel/register?execution=e1s1 HTTP/1.1" 200 19374
0:0:0:0:0:0:0:1 - - [24/Nov/2018:16:11:05 +0530] "GET /FashionWheel/resources/images/favicon.ico HTTP/1.1" 200 32988
